id,Keys,Times,Orientation,ThreeLiner
243,G,6/4,full,1
244,G,3/4,full,1
245,Ab,4/4,full,0
246,C,"6/4, 4/4, 2/4",full,0
247,C,3/4,full,0
248,A,2/4,full,0
249,"D min, D","6/4, 4/4, 2/4",full,0
250,G,4/4,full,0
251,A min,"6/4, 4/4",full,0
252,G,"4/4, 2/2, 3/2, 6/4",full,0
253,A,"2/4, 6/4, 6/8",full,0
254,A min,"4/4, 2/4, 6/8, 6/4",full,0
255,A,4/4,full,0
256,A,6/8,full,0
257,F# min,4/4,full,0
258,A min,2/4,full,0
259,E,4/4,full,0
260,A,2/4,full,0
261,A min,3/4,top,1
262,F,4/4,bottom,0
263,A min,4/4,full,0
264,A,4/4,full,0
265,F min,2/4,top,0
266,G,4/4,bottom,0
267,A min,4/4,top,0
268,F,6/8,bottom,0
269,C,4/4,full,0
270,G min,4/4,full,0
271,F min,3/4,top,0
272,E min,2/4,bottom,0
273,F,4/4,full,0
274,Bb,4/4,full,0
275,F,2/4,full,0
276,F,4/4,full,0
277,G,6/4,full,1
278,Bb,3/4,top,0
279,F,4/4,bottom,0
280,F min,4/4,full,0
281,C,4/4,full,0
282,E,4/4,full,0
283,F,6/4,full,0
284,Bb,4/4,full,0
285,F,4/4,full,0
286,F,4/4,full,0
287,F,4/4,full,0
288,Eb,2/4,full,0
289,G,3/4,full,0
290,E min,4/4,full,0
291,C,4/4,full,0
292,A,4/4,full,0
293,F,4/4,full,0
294,A min,4/4,full,0
295,F,"2/4, 6/8, 3/4",full,0
296,E min,4/4,full,0
297,F,3/4,full,0
298,E,4/4,full,0
299,A,4/4,full,0
300,E min,4/4,full,0
301,D,2/4,full,0
302,F,4/4,full,0
303,C,4/4,full,0
304,E min,6/4,top,0
305,A min,4/4,bottom,0
306,C,4/4,top,0
307,A min,2/2,bottom,0
308,G,4/4,full,0
309,A min,4/4,full,0
310,Eb,4/4,full,0
311,G,4/4,full,0
312,F,4/4,full,0
313,G,2/4,full,0
314,F# min,"3/2, 4/4",full,0
315,F,4/4,full,0
316,G,2/4,full,0
317,F,2/4,top,0
318,F,6/4,bottom,0
319,A min,4/4,full,0
320,F,6/4,full,0
321,E min,6/4,full,0
322,D,4/4,full,0
323,G min,4/4,full,0
324,G,"6/4, 6/8",full,0
325,F min,3/4,top,0
326,E min,3/4,bottom,0
327,A,2/4,full,0
328,E min,2/4,full,0
329,A,2/4,full,0
330,D,4/4,full,0
331,F,2/4,full,0
332,G,4/4,full,0
333,F,4/4,full,0
334,A,6/4,full,1
335,A,2/4,full,0
336,F,4/4,full,0
337,Db,4/4,full,0
338,A,6/4,full,0
339,A,2/4,full,0
340,Bb,2/2,full,0
341,F,2/4,top,0
342,G min,2/4,bottom,0
343,D min,6/4,full,1
344,Bb,3/2,full,0
345,A min,4/4,top,1
346,F,3/4,bottom,0
347,E min,4/4,full,0
348,G,4/4,full,0
349,C,4/4,full,0
350,E,4/4,full,0
351,F,4/4,full,0
352,A,3/2,top,0
353,F,2/4,bottom,0
354,"A min, A","4/4, 6/8, 2/4",full,1
355,Eb,2/4,full,0
356,D,3/4,full,1
357,E min,6/8,full,0
358,G,4/4,full,0
359,Bb,4/4,full,0
360,E,4/4,full,0
361,E min,4/4,full,0
362,F,6/8,full,0
363,A,3/4,full,0
364,A min,6/4,full,0
365,F,4/4,full,0
366,E min,4/4,full,0
367,Ab,4/4,full,0
368,G,6/8,full,0
369,F# min,6/8,full,0
370,A min,6/4,full,0
371,E min,4/4,full,0
372,A,6/8,top,0
373,G min,3/4,bottom,0
374,F# min,4/4,full,0
375,F,4/4,full,0
376,F,3/4,full,0
377,F,4/4,full,0
378,D min,4/4,full,0
379,Eb,2/4,full,0
380,E min,3/4,top,0
381,A min,2/4,bottom,0
382,F,4/4,full,0
383,F,"4/4, 3/2, 6/8",full,0
384,Bb,2/4,full,0
385,G,4/4,full,0
386,G,3/4,full,0
387,E,4/4,full,0
388,Eb,4/4,full,0
389,F,3/4,full,0
390,F,2/4,full,0
391,F,4/4,full,0
392,E min,4/4,full,0
393,E min,4/4,full,0
394,F,2/4,full,0
395,F# min,4/4,top,0
396,A min,4/4,bottom,0
397,Eb,4/4,full,0
398,G,2/4,full,0
399,Eb,4/4,full,0
400,F,6/4,full,0
401,F,4/4,full,0
402,Eb,2/4,full,0
403,G,2/4,full,0
404,Eb,4/4,full,1
405,D,"4/4, 2/4",full,0
406,F,6/8,full,0
407,A,3/2,top,0
408,G,4/4,bottom,0
409,F# min,4/4,full,0
410,Bb,4/4,full,0
411,C,3/4,full,0
412,G,4/4,full,0
413,A,6/4,full,0
414,E min,4/4,full,0
415,G,"2/4, 3/4",full,0
416,D,2/4,full,0
417,F# min,4/4,full,0
418,F,3/4,full,0
419,E min,2/4,full,0
420,F,4/4,full,0
421,F# min,4/4,full,0
422,Eb,2/4,full,0
423,A,4/4,full,0
424,G,4/4,top,0
425,F,4/4,bottom,0
426,F# min,4/4,full,0
427,F# min,4/4,full,0
428,F# min,4/4,full,0
429,F,4/4,full,0
430,F,4/4,full,0
431,A min,4/4,full,0
432,F,4/4,full,0
433,F,3/4,full,1
434,Eb,4/4,full,0
435,F,6/8,full,0
436,F,6/8,full,0
437,F,4/4,full,0
438,E min,4/4,full,0
439,F,4/4,full,0
440,C# min,4/4,full,0
441,D min,4/4,full,0
442,C,4/4,full,0
443,F,4/4,full,0
444,E min,4/4,full,0
445,F# min,"6/4, 3/4",top,0
446,A,4/4,bottom,0
447,G,6/8,full,1
448,E,6/4,full,0
449,D,4/4,full,1
450,F,6/4,full,0
451,E min,4/4,full,0
452,Bb,4/4,full,0
453,D min,"3/4, 4/4",full,0
454,E,4/4,full,0
455,F min,3/4,full,0
456,G min,2/4,full,0
457,A,2/4,full,0
458,G,4/4,full,0
459,G,4/4,full,0
460,F,3/4,full,0
461,F,4/4,full,0
462,F,4/4,full,0
463,F,4/4,full,0
464,E,4/4,full,0
465,Bb,3/2,full,0
466,F,4/4,full,0
467,F,4/4,full,0
468,F,3/4,full,0
469,C,4/4,full,0
470,G,2/4,full,0
471,G,4/4,full,0
472,A,4/4,full,0
473,F,4/4,full,0
474,C,2/4,full,0
475,F,4/4,full,0
476,F,4/4,full,0
477,F,2/4,full,0
478,E min,4/4,full,0
479,Bb,4/4,full,0
480,F,4/4,full,0
481,E,6/4,full,0
482,F,2/4,full,0
483,C,"4/4, 6/4",full,0
484,F# min,4/4,full,0
485,F,4/4,full,0
486,G,3/4,full,0
487,G,3/4,full,0
488,C,3/2,full,0
489,Bb,4/4,full,0
490,Eb,3/4,full,0
491,F,3/4,full,0
492,A,2/4,full,0
493,Bb,2/4,full,0
494,A,4/4,full,0
495,E,4/4,full,0
496,F,3/4,full,0
497,E min,4/4,full,0
498,G,3/4,full,0
499,F,4/4,full,0
500,F,3/2,full,0
501,D min,3/2,full,0
502,A min,4/4,full,0
503,E min,4/4,full,0
